[2025-04-06 15:14:08,685][__main__][INFO] - System information:
[2025-04-06 15:14:08,686][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-06 15:14:08,686][__main__][INFO] -   Python: 3.12.2
[2025-04-06 15:14:08,686][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-06 15:14:08,686][__main__][INFO] -   CUDA Available: True
[2025-04-06 15:14:08,686][__main__][INFO] -   CUDA Version: 12.4
[2025-04-06 15:14:08,686][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-06 15:14:08,691][__main__][INFO] - Env: LunarLanderContinuous-v3  state_dim: 8  action_dim: 2  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-06 15:14:08,692][__main__][INFO] - Random Seed: 42
[2025-04-06 15:37:44,905][__main__][INFO] - EnvName: LLdV3, Steps: 51k, Episode Reward: 32
[2025-04-06 15:38:10,210][__main__][INFO] - EnvName: LLdV3, Steps: 52k, Episode Reward: 161
[2025-04-06 15:38:35,688][__main__][INFO] - EnvName: LLdV3, Steps: 53k, Episode Reward: 77
[2025-04-06 15:39:04,179][__main__][INFO] - EnvName: LLdV3, Steps: 54k, Episode Reward: 85
[2025-04-06 15:39:33,283][__main__][INFO] - EnvName: LLdV3, Steps: 55k, Episode Reward: 87
[2025-04-06 15:39:59,234][__main__][INFO] - EnvName: LLdV3, Steps: 56k, Episode Reward: 80
[2025-04-06 15:40:27,975][__main__][INFO] - EnvName: LLdV3, Steps: 57k, Episode Reward: 147
[2025-04-06 15:40:53,791][__main__][INFO] - EnvName: LLdV3, Steps: 58k, Episode Reward: 177
[2025-04-06 15:41:19,856][__main__][INFO] - EnvName: LLdV3, Steps: 59k, Episode Reward: 39
[2025-04-06 15:41:47,720][__main__][INFO] - EnvName: LLdV3, Steps: 60k, Episode Reward: 170
[2025-04-06 15:42:15,031][__main__][INFO] - EnvName: LLdV3, Steps: 61k, Episode Reward: 8
[2025-04-06 15:42:44,472][__main__][INFO] - EnvName: LLdV3, Steps: 62k, Episode Reward: 32
[2025-04-06 15:43:09,172][__main__][INFO] - EnvName: LLdV3, Steps: 63k, Episode Reward: 61
[2025-04-06 15:43:40,388][__main__][INFO] - EnvName: LLdV3, Steps: 64k, Episode Reward: 44
