[2025-04-09 13:35:26,215][__main__][INFO] - System information:
[2025-04-09 13:35:26,215][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-09 13:35:26,215][__main__][INFO] -   Python: 3.12.2
[2025-04-09 13:35:26,215][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-09 13:35:26,215][__main__][INFO] -   CUDA Available: True
[2025-04-09 13:35:26,215][__main__][INFO] -   CUDA Version: 12.4
[2025-04-09 13:35:26,215][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-09 13:35:26,303][__main__][INFO] - Env: HalfCheetah-v5  state_dim: 17  action_dim: 6  max_a: 1.0  min_a: -1.0  max_e_steps: 1000
[2025-04-09 13:35:26,305][__main__][INFO] - Random Seed: 42
[2025-04-09 13:35:26,305][__main__][INFO] - Models will be saved to models/SAC_model/HCv5
[2025-04-09 14:18:07,351][__main__][INFO] - EnvName: HCv5, Steps: 52k, Episode Reward: -524
[2025-04-09 14:18:55,621][__main__][INFO] - EnvName: HCv5, Steps: 53k, Episode Reward: -639
[2025-04-09 14:19:51,184][__main__][INFO] - EnvName: HCv5, Steps: 54k, Episode Reward: -573
[2025-04-09 14:20:43,492][__main__][INFO] - EnvName: HCv5, Steps: 55k, Episode Reward: -520
[2025-04-09 14:21:34,736][__main__][INFO] - EnvName: HCv5, Steps: 56k, Episode Reward: -472
[2025-04-09 14:22:19,676][__main__][INFO] - EnvName: HCv5, Steps: 57k, Episode Reward: -694
[2025-04-09 14:23:10,962][__main__][INFO] - EnvName: HCv5, Steps: 58k, Episode Reward: -690
[2025-04-09 14:24:07,360][__main__][INFO] - EnvName: HCv5, Steps: 59k, Episode Reward: -576
[2025-04-09 14:24:56,913][__main__][INFO] - EnvName: HCv5, Steps: 60k, Episode Reward: -627
[2025-04-09 14:25:52,746][__main__][INFO] - EnvName: HCv5, Steps: 61k, Episode Reward: -572
[2025-04-09 14:26:38,589][__main__][INFO] - EnvName: HCv5, Steps: 62k, Episode Reward: -500
[2025-04-09 14:27:22,707][__main__][INFO] - EnvName: HCv5, Steps: 63k, Episode Reward: -604
[2025-04-09 14:28:05,821][__main__][INFO] - EnvName: HCv5, Steps: 64k, Episode Reward: -760
[2025-04-09 14:29:03,020][__main__][INFO] - EnvName: HCv5, Steps: 65k, Episode Reward: -548
[2025-04-09 14:29:57,666][__main__][INFO] - EnvName: HCv5, Steps: 66k, Episode Reward: -773
[2025-04-09 14:30:40,226][__main__][INFO] - EnvName: HCv5, Steps: 67k, Episode Reward: -921
[2025-04-09 14:31:26,776][__main__][INFO] - EnvName: HCv5, Steps: 68k, Episode Reward: -696
[2025-04-09 14:32:17,922][__main__][INFO] - EnvName: HCv5, Steps: 69k, Episode Reward: -1254
[2025-04-09 14:33:06,336][__main__][INFO] - EnvName: HCv5, Steps: 70k, Episode Reward: -762
[2025-04-09 14:33:57,986][__main__][INFO] - EnvName: HCv5, Steps: 71k, Episode Reward: -1002
[2025-04-09 14:34:48,746][__main__][INFO] - EnvName: HCv5, Steps: 72k, Episode Reward: -716
[2025-04-09 14:35:45,191][__main__][INFO] - EnvName: HCv5, Steps: 73k, Episode Reward: -888
[2025-04-09 14:36:40,977][__main__][INFO] - EnvName: HCv5, Steps: 74k, Episode Reward: -596
[2025-04-09 14:37:21,199][__main__][INFO] - EnvName: HCv5, Steps: 75k, Episode Reward: -711
[2025-04-09 14:38:14,186][__main__][INFO] - EnvName: HCv5, Steps: 76k, Episode Reward: -557
[2025-04-09 14:38:59,592][__main__][INFO] - EnvName: HCv5, Steps: 77k, Episode Reward: -428
[2025-04-09 14:39:48,951][__main__][INFO] - EnvName: HCv5, Steps: 78k, Episode Reward: -363
[2025-04-09 14:40:40,325][__main__][INFO] - EnvName: HCv5, Steps: 79k, Episode Reward: -328
[2025-04-09 14:41:30,189][__main__][INFO] - EnvName: HCv5, Steps: 80k, Episode Reward: -492
[2025-04-09 14:42:16,077][__main__][INFO] - EnvName: HCv5, Steps: 81k, Episode Reward: -421
[2025-04-09 14:43:00,802][__main__][INFO] - EnvName: HCv5, Steps: 82k, Episode Reward: -470
[2025-04-09 14:43:55,600][__main__][INFO] - EnvName: HCv5, Steps: 83k, Episode Reward: -497
[2025-04-09 14:44:42,230][__main__][INFO] - EnvName: HCv5, Steps: 84k, Episode Reward: -468
[2025-04-09 14:45:35,734][__main__][INFO] - EnvName: HCv5, Steps: 85k, Episode Reward: -515
[2025-04-09 14:46:24,047][__main__][INFO] - EnvName: HCv5, Steps: 86k, Episode Reward: -507
[2025-04-09 14:47:11,157][__main__][INFO] - EnvName: HCv5, Steps: 87k, Episode Reward: -323
[2025-04-09 14:48:03,242][__main__][INFO] - EnvName: HCv5, Steps: 88k, Episode Reward: -371
[2025-04-09 14:48:52,424][__main__][INFO] - EnvName: HCv5, Steps: 89k, Episode Reward: -406
[2025-04-09 14:49:42,016][__main__][INFO] - EnvName: HCv5, Steps: 90k, Episode Reward: -492
