[2025-04-17 13:32:21,473][__main__][INFO] - System information:
[2025-04-17 13:32:21,474][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-17 13:32:21,474][__main__][INFO] -   Python: 3.12.2
[2025-04-17 13:32:21,474][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-17 13:32:21,474][__main__][INFO] -   CUDA Available: True
[2025-04-17 13:32:21,474][__main__][INFO] -   CUDA Version: 12.4
[2025-04-17 13:32:21,474][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-17 13:32:21,479][__main__][INFO] - Env: Pendulum-v1  state_dim: 3  action_dim: 1  max_a: 2.0  min_a: -2.0  max_e_steps: 200
[2025-04-17 13:32:21,480][__main__][INFO] - Random Seed: 42
[2025-04-17 13:32:21,480][__main__][INFO] - Models will be saved to models/SAC_model/PV1
[2025-04-17 13:33:05,128][__main__][INFO] - EnvName: PV1, Steps: 1k, Episode Reward: -1786
[2025-04-17 13:33:45,911][__main__][INFO] - EnvName: PV1, Steps: 2k, Episode Reward: -1216
[2025-04-17 13:34:27,185][__main__][INFO] - EnvName: PV1, Steps: 3k, Episode Reward: -386
[2025-04-17 13:35:08,343][__main__][INFO] - EnvName: PV1, Steps: 4k, Episode Reward: -143
[2025-04-17 13:35:48,735][__main__][INFO] - EnvName: PV1, Steps: 5k, Episode Reward: -744
[2025-04-17 13:36:29,338][__main__][INFO] - EnvName: PV1, Steps: 6k, Episode Reward: -539
[2025-04-17 13:37:08,985][__main__][INFO] - EnvName: PV1, Steps: 7k, Episode Reward: -650
[2025-04-17 13:37:49,612][__main__][INFO] - EnvName: PV1, Steps: 8k, Episode Reward: -1065
[2025-04-17 13:38:30,655][__main__][INFO] - EnvName: PV1, Steps: 9k, Episode Reward: -902
[2025-04-17 13:39:11,111][__main__][INFO] - EnvName: PV1, Steps: 10k, Episode Reward: -1061
[2025-04-17 13:39:51,952][__main__][INFO] - EnvName: PV1, Steps: 11k, Episode Reward: -1206
[2025-04-17 13:40:32,443][__main__][INFO] - EnvName: PV1, Steps: 12k, Episode Reward: -946
[2025-04-17 13:41:13,570][__main__][INFO] - EnvName: PV1, Steps: 13k, Episode Reward: -650
[2025-04-17 13:41:54,742][__main__][INFO] - EnvName: PV1, Steps: 14k, Episode Reward: -663
[2025-04-17 13:42:35,905][__main__][INFO] - EnvName: PV1, Steps: 15k, Episode Reward: -1259
[2025-04-17 13:43:17,800][__main__][INFO] - EnvName: PV1, Steps: 16k, Episode Reward: -696
[2025-04-17 13:43:59,315][__main__][INFO] - EnvName: PV1, Steps: 17k, Episode Reward: -722
[2025-04-17 13:44:39,983][__main__][INFO] - EnvName: PV1, Steps: 18k, Episode Reward: -1212
