[2025-04-17 14:07:06,963][__main__][INFO] - System information:
[2025-04-17 14:07:06,963][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-17 14:07:06,963][__main__][INFO] -   Python: 3.12.2
[2025-04-17 14:07:06,963][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-17 14:07:06,963][__main__][INFO] -   CUDA Available: True
[2025-04-17 14:07:06,964][__main__][INFO] -   CUDA Version: 12.4
[2025-04-17 14:07:06,964][__main__][INFO] -   GPU: NVIDIA GeForce GTX 1080 Ti
[2025-04-17 14:07:06,972][__main__][INFO] - Env: Pendulum-v1  state_dim: 3  action_dim: 1  max_a: 2.0  min_a: -2.0  max_e_steps: 200
[2025-04-17 14:07:06,973][__main__][INFO] - Random Seed: 42
[2025-04-17 14:07:06,974][__main__][INFO] - Models will be saved to models/SAC_model/PV1
[2025-04-17 14:07:52,749][__main__][INFO] - EnvName: PV1, Steps: 1k, Episode Reward: -1785
[2025-04-17 14:08:35,840][__main__][INFO] - EnvName: PV1, Steps: 2k, Episode Reward: -907
[2025-04-17 14:09:19,316][__main__][INFO] - EnvName: PV1, Steps: 3k, Episode Reward: -256
[2025-04-17 14:10:03,215][__main__][INFO] - EnvName: PV1, Steps: 4k, Episode Reward: -375
[2025-04-17 14:10:46,514][__main__][INFO] - EnvName: PV1, Steps: 5k, Episode Reward: -1076
[2025-04-17 14:11:29,591][__main__][INFO] - EnvName: PV1, Steps: 6k, Episode Reward: -995
[2025-04-17 14:12:13,327][__main__][INFO] - EnvName: PV1, Steps: 7k, Episode Reward: -909
[2025-04-17 14:12:56,709][__main__][INFO] - EnvName: PV1, Steps: 8k, Episode Reward: -1096
[2025-04-17 14:13:40,361][__main__][INFO] - EnvName: PV1, Steps: 9k, Episode Reward: -1043
[2025-04-17 14:14:23,295][__main__][INFO] - EnvName: PV1, Steps: 10k, Episode Reward: -579
[2025-04-17 14:15:06,275][__main__][INFO] - EnvName: PV1, Steps: 11k, Episode Reward: -1180
[2025-04-17 14:15:49,037][__main__][INFO] - EnvName: PV1, Steps: 12k, Episode Reward: -851
[2025-04-17 14:16:31,891][__main__][INFO] - EnvName: PV1, Steps: 13k, Episode Reward: -690
[2025-04-17 14:17:14,865][__main__][INFO] - EnvName: PV1, Steps: 14k, Episode Reward: -515
[2025-04-17 14:17:57,277][__main__][INFO] - EnvName: PV1, Steps: 15k, Episode Reward: -1305
[2025-04-17 14:18:40,129][__main__][INFO] - EnvName: PV1, Steps: 16k, Episode Reward: -1230
[2025-04-17 14:19:22,585][__main__][INFO] - EnvName: PV1, Steps: 17k, Episode Reward: -1069
[2025-04-17 14:20:05,319][__main__][INFO] - EnvName: PV1, Steps: 18k, Episode Reward: -1129
[2025-04-17 14:20:47,950][__main__][INFO] - EnvName: PV1, Steps: 19k, Episode Reward: -903
[2025-04-17 14:21:30,220][__main__][INFO] - EnvName: PV1, Steps: 20k, Episode Reward: -1166
[2025-04-17 14:22:11,692][__main__][INFO] - EnvName: PV1, Steps: 21k, Episode Reward: -1250
[2025-04-17 14:22:52,327][__main__][INFO] - EnvName: PV1, Steps: 22k, Episode Reward: -1079
[2025-04-17 14:23:34,102][__main__][INFO] - EnvName: PV1, Steps: 23k, Episode Reward: -936
[2025-04-17 14:24:14,985][__main__][INFO] - EnvName: PV1, Steps: 24k, Episode Reward: -831
[2025-04-17 14:24:57,999][__main__][INFO] - EnvName: PV1, Steps: 25k, Episode Reward: -1071
[2025-04-17 14:25:42,370][__main__][INFO] - EnvName: PV1, Steps: 26k, Episode Reward: -783
[2025-04-17 14:26:25,902][__main__][INFO] - EnvName: PV1, Steps: 27k, Episode Reward: -454
[2025-04-17 14:27:08,184][__main__][INFO] - EnvName: PV1, Steps: 28k, Episode Reward: -109
[2025-04-17 14:27:51,669][__main__][INFO] - EnvName: PV1, Steps: 29k, Episode Reward: -302
[2025-04-17 14:28:34,224][__main__][INFO] - EnvName: PV1, Steps: 30k, Episode Reward: -242
[2025-04-17 14:29:17,238][__main__][INFO] - EnvName: PV1, Steps: 31k, Episode Reward: -313
[2025-04-17 14:30:00,013][__main__][INFO] - EnvName: PV1, Steps: 32k, Episode Reward: -281
[2025-04-17 14:30:39,992][__main__][INFO] - EnvName: PV1, Steps: 33k, Episode Reward: -241
[2025-04-17 14:31:19,992][__main__][INFO] - EnvName: PV1, Steps: 34k, Episode Reward: -331
[2025-04-17 14:32:02,387][__main__][INFO] - EnvName: PV1, Steps: 35k, Episode Reward: -478
[2025-04-17 14:32:45,068][__main__][INFO] - EnvName: PV1, Steps: 36k, Episode Reward: -294
[2025-04-17 14:33:27,814][__main__][INFO] - EnvName: PV1, Steps: 37k, Episode Reward: -324
[2025-04-17 14:34:11,225][__main__][INFO] - EnvName: PV1, Steps: 38k, Episode Reward: -545
[2025-04-17 14:34:53,175][__main__][INFO] - EnvName: PV1, Steps: 39k, Episode Reward: -318
[2025-04-17 14:35:34,787][__main__][INFO] - EnvName: PV1, Steps: 40k, Episode Reward: -160
[2025-04-17 14:36:16,650][__main__][INFO] - EnvName: PV1, Steps: 41k, Episode Reward: -223
[2025-04-17 14:36:58,345][__main__][INFO] - EnvName: PV1, Steps: 42k, Episode Reward: -128
[2025-04-17 14:37:41,524][__main__][INFO] - EnvName: PV1, Steps: 43k, Episode Reward: -99
[2025-04-17 14:38:24,428][__main__][INFO] - EnvName: PV1, Steps: 44k, Episode Reward: -101
[2025-04-17 14:39:07,540][__main__][INFO] - EnvName: PV1, Steps: 45k, Episode Reward: -144
[2025-04-17 14:39:49,780][__main__][INFO] - EnvName: PV1, Steps: 46k, Episode Reward: -176
[2025-04-17 14:40:30,855][__main__][INFO] - EnvName: PV1, Steps: 47k, Episode Reward: -103
[2025-04-17 14:41:14,058][__main__][INFO] - EnvName: PV1, Steps: 48k, Episode Reward: -159
[2025-04-17 14:41:55,664][__main__][INFO] - EnvName: PV1, Steps: 49k, Episode Reward: -139
[2025-04-17 14:42:37,934][__main__][INFO] - EnvName: PV1, Steps: 50k, Episode Reward: -124
[2025-04-17 14:42:37,939][__main__][INFO] - Training completed. Evaluating across 20 episodes
[2025-04-17 14:42:40,413][__main__][INFO] - Final evaluation - Mean: -172.85, Std: 81.64
[2025-04-17 14:42:40,413][__main__][INFO] - 90th percentile: -119.00, 10th percentile: -252.20
[2025-04-17 14:42:40,418][__main__][INFO] - Final model saved to models/SAC_model/PV1
